Cost £,dateStata,dateISO,region
,,,
25.855883,01/01/2022,01/01/2022,London
,,,
18.6775,01/01/2022,01/01/2022,South East (England)
,,,
17.896154,01/01/2022,01/01/2022,South West (England)
,,,
17.416666,01/01/2022,01/01/2022,East 
,,,
17.038889,01/01/2022,01/01/2022,East Midlands (England)
,,,
19.295,01/01/2022,01/01/2022,West Midlands (England)
,,,
15.675,01/01/2022,01/01/2022,Yorkshire and The Humber
,,,
15.390625,01/01/2022,01/01/2022,North West (England)
,,,
14.6,01/01/2022,01/01/2022,North East (England)
,,,
14,01/01/2022,01/01/2022,Wales
,,,
16.708334,01/01/2022,01/01/2022,Scotland
,,,
14,01/01/2022,01/01/2022,Northern Ireland